trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
862,True,"{'a': 0, 'e': 0}",20,0,-32.00142357042599,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
863,True,"{'a': 0, 'e': 0}",25,0,27.50010775577004,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
864,True,"{'a': 0, 'e': 0}",25,0,28.065842888829614,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
865,True,"{'a': 0, 'e': 0}",25,0,26.421804314786595,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
866,True,"{'a': 0, 'e': 0}",35,0,-123.17487567287722,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 4}",0
867,True,"{'a': 0, 'e': 0}",25,0,7.979717575915915,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
868,True,"{'a': 0, 'e': 0}",25,0,-82.63644115305506,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
869,True,"{'a': 0, 'e': 0}",25,0,-137.48623204524958,"{0: 18, 1: 0, 2: 2, 3: 3, 4: 2}",0
870,True,"{'a': 0, 'e': 0}",20,0,7.682461135726244,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
871,True,"{'a': 0, 'e': 0}",30,0,-52.00264767491137,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
872,True,"{'a': 0, 'e': 0}",25,0,10.884201768225903,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
873,True,"{'a': 0, 'e': 0}",25,0,17.212983177007438,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
874,True,"{'a': 0, 'e': 0}",25,0,18.96592645157914,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
875,True,"{'a': 0, 'e': 0}",25,0,-99.13170767454568,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
876,True,"{'a': 0, 'e': 0}",25,0,-9.062780923854993,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
877,True,"{'a': 0, 'e': 0}",20,0,23.062725967571343,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
878,True,"{'a': 0, 'e': 0}",25,0,-40.33798853264355,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
879,True,"{'a': 0, 'e': 0}",35,0,-4.576145136741932,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
880,True,"{'a': 0, 'e': 0}",25,12,-21.32491014344359,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
881,True,"{'a': 0, 'e': 0}",20,0,14.053067002476984,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
882,True,"{'a': 0, 'e': 0}",20,0,4.866708527820544,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
883,True,"{'a': 0, 'e': 0}",20,0,25.32767185557624,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
884,True,"{'a': 0, 'e': 0}",25,0,10.976203106002002,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
885,True,"{'a': 0, 'e': 0}",20,0,-79.54481830274784,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
886,True,"{'a': 0, 'e': 0}",25,0,-10.012663027336838,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
887,True,"{'a': 0, 'e': 0}",25,9,23.39293066672771,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
888,True,"{'a': 0, 'e': 0}",30,0,-4.199071326959249,"{0: 25, 1: 4, 2: 0, 3: 1, 4: 0}",0
889,True,"{'a': 0, 'e': 0}",25,0,30.451759799104384,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
890,True,"{'a': 0, 'e': 0}",20,11,-10.014280824607193,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
891,True,"{'a': 0, 'e': 0}",25,0,13.395780835319279,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
892,True,"{'a': 0, 'e': 0}",30,0,-37.2263962770646,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
893,True,"{'a': 0, 'e': 0}",20,0,22.87718462090345,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
894,True,"{'a': 0, 'e': 0}",20,0,22.02368134624031,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
895,True,"{'a': 0, 'e': 0}",20,0,-20.44485557824014,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
896,True,"{'a': 0, 'e': 0}",25,0,14.421688857797662,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
897,True,"{'a': 0, 'e': 0}",25,0,-26.57581412368262,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
898,True,"{'a': 0, 'e': 0}",25,4,-85.23152086246542,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 2}",1
899,True,"{'a': 0, 'e': 0}",30,0,-18.563571475300535,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
900,True,"{'a': 0, 'e': 0}",25,0,-25.804147257394643,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
901,True,"{'a': 0, 'e': 0}",20,8,-25.2472517074362,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
902,True,"{'a': 0, 'e': 0}",25,0,-14.007164406165968,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
903,True,"{'a': 0, 'e': 0}",20,0,-10.724189726495105,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
904,True,"{'a': 0, 'e': 0}",20,0,17.446164433144983,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
905,True,"{'a': 0, 'e': 0}",20,0,6.857524500858871,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
906,True,"{'a': 0, 'e': 0}",20,1,-111.25778336816835,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 2}",1
907,True,"{'a': 0, 'e': 0}",25,10,-32.98952263392068,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
908,True,"{'a': 0, 'e': 0}",20,0,-39.71696338634837,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
909,True,"{'a': 0, 'e': 0}",25,0,2.610846640290274,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
910,True,"{'a': 0, 'e': 0}",20,0,-82.0063522886624,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
911,True,"{'a': 0, 'e': 0}",35,0,-6.855238198171517,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
912,True,"{'a': 0, 'e': 0}",25,0,-9.880421659938321,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
913,True,"{'a': 0, 'e': 0}",25,0,-117.72951210933375,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
914,True,"{'a': 0, 'e': 0}",25,0,-10.021492086713254,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
915,True,"{'a': 0, 'e': 0}",20,0,-18.759599118067683,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
916,True,"{'a': 0, 'e': 0}",25,0,-44.025339521157605,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
917,True,"{'a': 0, 'e': 0}",30,11,-43.86093206605897,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
918,True,"{'a': 0, 'e': 0}",25,0,-13.25510999662633,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
919,True,"{'a': 0, 'e': 0}",30,0,-10.938190762299396,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
920,True,"{'a': 0, 'e': 0}",20,0,-48.52758086369165,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
921,True,"{'a': 0, 'e': 0}",30,0,-48.610197209364514,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
922,True,"{'a': 0, 'e': 0}",20,0,-48.476037764514594,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
923,True,"{'a': 0, 'e': 0}",25,0,-29.991188554104436,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
924,True,"{'a': 0, 'e': 0}",25,0,-13.754168610367978,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
925,True,"{'a': 0, 'e': 0}",25,0,-16.479425320922275,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
926,True,"{'a': 0, 'e': 0}",20,0,-18.676858105288204,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
927,True,"{'a': 0, 'e': 0}",20,5,-20.509944666331837,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
928,True,"{'a': 0, 'e': 0}",25,0,25.251001519708453,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
929,True,"{'a': 0, 'e': 0}",30,0,-31.596545322311744,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
930,True,"{'a': 0, 'e': 0}",20,0,-14.88655486237547,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
931,True,"{'a': 0, 'e': 0}",20,0,-10.361165828139029,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
932,True,"{'a': 0, 'e': 0}",25,0,0.373159548966413,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
933,True,"{'a': 0, 'e': 0}",30,20,-22.49531818268617,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
934,True,"{'a': 0, 'e': 0}",20,0,19.97910428677296,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
