trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
51,False,"{'a': 0.5, 'e': 1.0}",30,16,-39.75706909637987,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.36653392359217,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.04265256104294,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.5170634803527,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
55,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.28817681800902,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 1.0}",30,1,-154.20065309125755,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 2}",1
57,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.0424170515687,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
58,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.20304835579312,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.58039122545938,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
60,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.34858179194609,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 1.0}",30,0,-147.72807296590545,"{0: 16, 1: 8, 2: 3, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 1.0}",30,0,-230.3101374366845,"{0: 14, 1: 5, 2: 6, 3: 2, 4: 3}",0
63,False,"{'a': 0.5, 'e': 1.0}",30,6,-126.28603465558011,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 3}",1
64,False,"{'a': 0.5, 'e': 1.0}",25,0,-205.48088852458397,"{0: 9, 1: 6, 2: 5, 3: 3, 4: 2}",0
65,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.62537910501104,"{0: 11, 1: 2, 2: 10, 3: 2, 4: 0}",0
